epoch,accuracy,loss,val_accuracy,val_loss
0,0.38111864308495136,1.8353173423621614,0.53,1.3458466658592223
1,0.544902342052783,1.2545896380129506,0.58,1.2174064574241639
2,0.5757764346013635,1.168304789217852,0.585,1.1613941793441773
3,0.5913236510450557,1.1181527691877495,0.608,1.116338490962982
4,0.602868445419659,1.082006664296328,0.61,1.0868912863731384
5,0.6117691730038595,1.05527963309975,0.619,1.0613743331432341
6,0.6178813602964757,1.035082833342633,0.624,1.0420479085445404
7,0.6219023442369397,1.019230912651046,0.628,1.0270172169208527
8,0.6256529491079056,1.005648717587277,0.623,1.0128407680988312
9,0.6293559366616152,0.9941105614274235,0.632,1.0031847710609436
10,0.6322663484235941,0.9843475749937155,0.629,0.994033630847931
11,0.6335859607084323,0.9754856780929081,0.63,0.9846193377971649
12,0.6353591646683419,0.9679818038718175,0.635,0.9742254137992858
13,0.6375714319994894,0.9612705226166773,0.641,0.9706090831756592
14,0.6385431849602926,0.9551795089143817,0.638,0.9620039043426514
15,0.6413680427660376,0.9494889616966248,0.641,0.9567062094211578
16,0.6427586799961026,0.9442275320069264,0.64,0.9512806611061096
17,0.643697341392606,0.9396721166574349,0.644,0.947280706167221
18,0.6455480269203752,0.9351004907135236,0.642,0.9454118485450744
19,0.6463599722264177,0.9309150027521585,0.648,0.9386842193603515
20,0.6479895119697361,0.9273207168962996,0.646,0.9347375288009644
21,0.6485625551413682,0.9234571484185882,0.642,0.9302511625289916
22,0.6497159041085485,0.9200766433093508,0.649,0.9255557107925415
23,0.6504164692709001,0.9167168276289762,0.646,0.9256446604728699
24,0.6509717561935975,0.9135667851415731,0.651,0.9219822850227356
25,0.6517183253573159,0.9105525494632074,0.65,0.9162855885028839
26,0.6537554525217768,0.9076447514659267,0.651,0.9177274036407471
27,0.6534479463504532,0.9050101688857806,0.654,0.9099455020427704
28,0.6544842664720648,0.9025028614674584,0.654,0.9120142440795899
29,0.6544689312577248,0.9001667915764502,0.661,0.9077202279567719
30,0.6559693348862357,0.8977130003399768,0.659,0.9053687868118286
31,0.6562913683764006,0.8953836515798407,0.66,0.9062265470027924
32,0.6562155012862158,0.8936233052257764,0.657,0.9042926495075225
33,0.6575230069837328,0.8916880356053175,0.654,0.9008122940063477
34,0.6576214732002403,0.8900693934852794,0.655,0.899645788192749
35,0.6588071072505692,0.8880793990725178,0.664,0.8964687666893005
36,0.6584963727553012,0.8864367467367043,0.658,0.8992447876930236
37,0.6591832174840621,0.8846940028212839,0.657,0.894531450510025
38,0.6599636850215621,0.8834809767492747,0.656,0.8910683937072754
39,0.6602502063169318,0.8820785438105211,0.662,0.8892289156913757
40,0.6608103354098434,0.8809670779159513,0.659,0.8897652378082276
41,0.6609790206965753,0.8794563862226777,0.655,0.8918176169395446
42,0.6607231676831083,0.8785716326560005,0.662,0.883349986076355
43,0.6622566629011752,0.8775313918873415,0.658,0.8868265891075134
44,0.6630678007663307,0.8760927052821144,0.663,0.8819379327297211
45,0.6629152591955864,0.8751435819318739,0.67,0.8842739984989166
46,0.6632469783647585,0.8742745293651597,0.661,0.8831102824211121
47,0.6629314006385156,0.8733739092440929,0.665,0.8825231051445007
48,0.6631065424973682,0.8724373875027996,0.674,0.8811826659440994
49,0.6647740155711013,0.8712427700980235,0.669,0.8795470428466797
50,0.6641654602804427,0.8703789237949808,0.661,0.8796801407337189
51,0.6654439095975989,0.8696060940623284,0.665,0.8768618972301483
52,0.6651896743198572,0.8684872919220036,0.665,0.8767275948524476
53,0.6642469783960763,0.8680025418431072,0.666,0.8753406032323837
54,0.6654616676397243,0.8671795790478335,0.665,0.8786813933849335
55,0.6654447183265524,0.8661833471665948,0.671,0.8745380314588547
56,0.6657554518620846,0.8659654906998246,0.667,0.8745104460716248
57,0.6658886252065837,0.8650257559903597,0.673,0.873349383354187
58,0.6671807954119424,0.8641269864167197,0.671,0.8728323357105255
