filename,model_index,val_accuracy
comps_20_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_2_dense-size_256_098,97,0.69
comps_20_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_1_denses_0_dense-size_128_030,29,0.50
comps_20_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_1_denses_0_dense-size_256_030,29,0.50
comps_20_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_1_denses_1_dense-size_128_088,87,0.56
comps_20_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_1_denses_1_dense-size_256_079,78,0.56
comps_20_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_1_denses_2_dense-size_128_074,73,0.57
comps_20_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_1_denses_2_dense-size_256_054,53,0.57
comps_20_dataset_FMNIST_method_svd_normalized1_1_normalized2_0_freezed_1_denses_0_dense-size_128_010,9,0.45
comps_20_dataset_FMNIST_method_svd_normalized1_1_normalized2_0_freezed_1_denses_0_dense-size_256_017,16,0.44
comps_20_dataset_FMNIST_method_svd_normalized1_1_normalized2_0_freezed_1_denses_1_dense-size_128_080,79,0.51
comps_20_dataset_FMNIST_method_svd_normalized1_1_normalized2_0_freezed_1_denses_1_dense-size_256_078,77,0.51
comps_20_dataset_FMNIST_method_svd_normalized1_1_normalized2_0_freezed_1_denses_2_dense-size_128_100,99,0.51
comps_20_dataset_FMNIST_method_svd_normalized1_1_normalized2_0_freezed_1_denses_2_dense-size_256_080,79,0.51
comps_20_dataset_FMNIST_method_svd_normalized1_1_normalized2_1_freezed_1_denses_0_dense-size_128_009,8,0.46
comps_20_dataset_FMNIST_method_svd_normalized1_1_normalized2_1_freezed_1_denses_0_dense-size_256_015,14,0.45
comps_20_dataset_FMNIST_method_svd_normalized1_1_normalized2_1_freezed_1_denses_1_dense-size_128_058,57,0.50
comps_20_dataset_FMNIST_method_svd_normalized1_1_normalized2_1_freezed_1_denses_1_dense-size_256_074,73,0.50
comps_20_dataset_FMNIST_method_svd_normalized1_1_normalized2_1_freezed_1_denses_2_dense-size_128_080,79,0.51
comps_20_dataset_FMNIST_method_svd_normalized1_1_normalized2_1_freezed_1_denses_2_dense-size_256_095,94,0.51
comps_30_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_0_dense-size_128_058,57,0.62
comps_30_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_0_dense-size_256_058,57,0.62
comps_30_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_128_098,97,0.67
comps_30_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_256_098,97,0.68
comps_30_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_2_dense-size_128_098,97,0.68
comps_30_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_2_dense-size_256_097,96,0.70
comps_30_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_1_denses_0_dense-size_128_041,40,0.51
comps_30_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_1_denses_0_dense-size_256_035,34,0.51
comps_30_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_1_denses_1_dense-size_128_030,29,0.59
comps_30_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_1_denses_1_dense-size_256_073,72,0.58
comps_30_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_1_denses_2_dense-size_128_058,57,0.59
comps_30_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_1_denses_2_dense-size_256_098,97,0.59
comps_30_dataset_FMNIST_method_svd_normalized1_1_normalized2_0_freezed_1_denses_0_dense-size_128_060,59,0.47
comps_30_dataset_FMNIST_method_svd_normalized1_1_normalized2_0_freezed_1_denses_0_dense-size_256_013,12,0.47
comps_30_dataset_FMNIST_method_svd_normalized1_1_normalized2_0_freezed_1_denses_1_dense-size_128_056,55,0.52
comps_30_dataset_FMNIST_method_svd_normalized1_1_normalized2_0_freezed_1_denses_1_dense-size_256_082,81,0.53
comps_30_dataset_FMNIST_method_svd_normalized1_1_normalized2_0_freezed_1_denses_2_dense-size_128_056,55,0.54
comps_30_dataset_FMNIST_method_svd_normalized1_1_normalized2_0_freezed_1_denses_2_dense-size_256_056,55,0.53
comps_30_dataset_FMNIST_method_svd_normalized1_1_normalized2_1_freezed_1_denses_0_dense-size_128_016,15,0.47
comps_30_dataset_FMNIST_method_svd_normalized1_1_normalized2_1_freezed_1_denses_0_dense-size_256_016,15,0.48
comps_30_dataset_FMNIST_method_svd_normalized1_1_normalized2_1_freezed_1_denses_1_dense-size_128_095,94,0.53
comps_30_dataset_FMNIST_method_svd_normalized1_1_normalized2_1_freezed_1_denses_1_dense-size_256_093,92,0.59
comps_30_dataset_FMNIST_method_svd_normalized1_1_normalized2_1_freezed_1_denses_2_dense-size_128_054,53,0.53
comps_30_dataset_FMNIST_method_svd_normalized1_1_normalized2_1_freezed_1_denses_2_dense-size_256_078,77,0.54
comps_40_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_0_dense-size_128_058,57,0.61
comps_40_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_0_dense-size_256_058,57,0.61
comps_40_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_128_098,97,0.67
comps_40_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_256_097,96,0.69
comps_40_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_2_dense-size_128_098,97,0.69
comps_40_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_2_dense-size_256_091,90,0.70
comps_40_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_1_denses_0_dense-size_128_073,72,0.52
comps_40_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_1_denses_0_dense-size_256_068,67,0.52
comps_40_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_1_denses_1_dense-size_128_056,55,0.60
comps_40_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_1_denses_1_dense-size_256_098,97,0.60
comps_40_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_1_denses_2_dense-size_128_060,59,0.60
comps_40_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_1_denses_2_dense-size_256_063,62,0.61
comps_40_dataset_FMNIST_method_svd_normalized1_1_normalized2_0_freezed_1_denses_0_dense-size_128_018,17,0.48
comps_40_dataset_FMNIST_method_svd_normalized1_1_normalized2_0_freezed_1_denses_0_dense-size_256_024,23,0.48
comps_40_dataset_FMNIST_method_svd_normalized1_1_normalized2_0_freezed_1_denses_1_dense-size_128_063,62,0.53
comps_40_dataset_FMNIST_method_svd_normalized1_1_normalized2_0_freezed_1_denses_1_dense-size_256_083,82,0.57
comps_40_dataset_FMNIST_method_svd_normalized1_1_normalized2_0_freezed_1_denses_2_dense-size_128_098,97,0.59
comps_40_dataset_FMNIST_method_svd_normalized1_1_normalized2_0_freezed_1_denses_2_dense-size_256_074,73,0.64
comps_40_dataset_FMNIST_method_svd_normalized1_1_normalized2_1_freezed_1_denses_0_dense-size_128_018,17,0.48
comps_40_dataset_FMNIST_method_svd_normalized1_1_normalized2_1_freezed_1_denses_0_dense-size_256_018,17,0.48
comps_40_dataset_FMNIST_method_svd_normalized1_1_normalized2_1_freezed_1_denses_1_dense-size_128_099,98,0.58
comps_40_dataset_FMNIST_method_svd_normalized1_1_normalized2_1_freezed_1_denses_1_dense-size_256_078,77,0.58
comps_40_dataset_FMNIST_method_svd_normalized1_1_normalized2_1_freezed_1_denses_2_dense-size_128_078,77,0.54
comps_40_dataset_FMNIST_method_svd_normalized1_1_normalized2_1_freezed_1_denses_2_dense-size_256_098,97,0.64
comps_50_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_0_dense-size_128_058,57,0.62
comps_50_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_0_dense-size_256_058,57,0.62
comps_50_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_128_095,94,0.67
comps_50_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_256_092,91,0.69
comps_50_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_2_dense-size_128_098,97,0.69
comps_50_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_2_dense-size_256_097,96,0.71
comps_50_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_1_denses_0_dense-size_128_048,47,0.54
comps_50_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_1_denses_0_dense-size_256_066,65,0.54
comps_50_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_1_denses_1_dense-size_128_023,22,0.61
comps_50_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_1_denses_1_dense-size_256_073,72,0.62
